name,type,notranslate,comment,value,en
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter12,editfontantialiased,frame.caption",vaString,F,,Anti aliased,Anti aliased
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter14,rightmarginon,frame.caption",vaString,F,,Right margin line,Right margin line
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter14,linenumberson,frame.caption",vaString,F,,Line numbers,Line numbers
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter14,editmarkbrackets,frame.caption",vaString,F,,Mark brackets,Mark brackets
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter14,editmarkpairwords,frame.caption",vaString,F,,Mark pairwords,Mark pairwords
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter14,editmarkpairwords,hint",vaString,F,,Mark in syntax definition file defined word pairs.,Mark in syntax definition file defined word pairs.
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,pairmarkcolor,frame.caption",vaString,F,,"Mark
color","Mark
color"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,pairmarkcolor,hint",vaString,F,,"Background color of marked brackets and word pairs.
Will be overridden by setting in syntax definition file.
cl_none -> force none.","Background color of marked brackets and word pairs.
Will be overridden by setting in syntax definition file.
cl_none -> force none."
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,statementcolor,frame.caption",vaString,F,,"Statement
color","Statement
color"
"projectoptionsfo,tlayouter9,tabwidget,editorpage,ttabwidget3,ttabpage23,tlayouter13,tlayouter11,tlayouter15,statementcolor,hint",vaString,F,,"Background color of the active row while debugging.
Will be overridden by setting in syntax definition file.
cl_none -> force none.","Background color of the active row while debugging.
Will be overridden by setting in syntax definition file.
cl_none -> force none."
